1;2;57.455;62.045;22.636;27.409;50.818;35.273
1;2;45.818;50.364;34.045;38.864;32.500;31.864
1;2;29.864;34.091;27.545;31.409;36.455;13.318
1;2;37.000;41.682;9.864;15.091;49.000;5.955
1;2;49.545;54.318;3.636;7.909;76.045;12.455
1;2;75.545;80.273;12.955;17.864;62.682;25.273
2;2;48.773;54.045;32.591;37.182;35.682;43.636
2;2;29.318;35.045;41.455;45.591;14.955;38.091
2;2;12.591;19.182;33.636;37.591;23.591;25.182
2;2;24.182;28.591;22.909;27.273;32.955;17.864
2;2;31.091;37.000;12.273;17.364;49.636;13.636
2;2;50.045;55.045;12.727;17.136;52.636;32.091
